"nom","groupe_musculaire","muscles_secondaires","type","materiel","niveau","description","conseils","image"
"Pec deck","Pectoraux","Deltoïdes antérieurs","isolation","Machine","débutant","Pec deck est un exercice de pectoraux réalisé avec machine. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau débutant.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/pec-deck.png"
"Dips buste penché","Pectoraux","Deltoïdes antérieurs","polyarticulaire","Barres parallèles","intermédiaire","Dips buste penché est un exercice de pectoraux réalisé avec barres parallèles. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau intermédiaire.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/dips-buste-penche.png"
"Pull-over haltère","Pectoraux","Triceps long; Dentelé antérieur","isolation","Haltère","intermédiaire","Pull-over haltère est un exercice de pectoraux réalisé avec haltère. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau intermédiaire.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/pull-over-haltere.png"
"Chest press","Pectoraux","Triceps; Deltoïdes antérieurs","polyarticulaire","Machine","débutant","Chest press est un exercice de pectoraux réalisé avec machine. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau débutant.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/chest-press.png"
"Svend press","Pectoraux","Triceps; Deltoïdes antérieurs","polyarticulaire","Disque","débutant","Svend press est un exercice de pectoraux réalisé avec disque. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau débutant.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/svend-press.png"
"Tractions pronation","Dos","Rhomboïdes; Trapèzes; Avant-bras","polyarticulaire","Barre de traction","intermédiaire","Tractions pronation est un exercice de dos réalisé avec barre de traction. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau intermédiaire.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/tractions-pronation.png"
"Tractions supination","Dos","Rhomboïdes; Trapèzes; Avant-bras","polyarticulaire","Barre de traction","intermédiaire","Tractions supination est un exercice de dos réalisé avec barre de traction. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau intermédiaire.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/tractions-supination-dos.png"
"Tractions prise neutre","Dos","Rhomboïdes; Trapèzes; Avant-bras","polyarticulaire","Barre de traction","intermédiaire","Tractions prise neutre est un exercice de dos réalisé avec barre de traction. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau intermédiaire.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/tractions-prise-neutre.png"
"Tractions assistées","Dos","Rhomboïdes; Trapèzes; Avant-bras","polyarticulaire","Machine / élastique","débutant","Tractions assistées est un exercice de dos réalisé avec machine / élastique. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau débutant.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/tractions-assistees.png"
"Tirage vertical poitrine","Dos","Rhomboïdes; Trapèzes; Avant-bras","polyarticulaire","Poulie","débutant","Tirage vertical poitrine est un exercice de dos réalisé avec poulie. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau débutant.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/tirage-vertical-poitrine.png"
"Tirage vertical prise serrée","Dos","Rhomboïdes; Trapèzes; Avant-bras","polyarticulaire","Poulie","débutant","Tirage vertical prise serrée est un exercice de dos réalisé avec poulie. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau débutant.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/tirage-vertical-prise-serree.png"
"Rowing barre","Dos","Biceps; Deltoïdes postérieurs; Avant-bras","polyarticulaire","Barre","intermédiaire","Rowing barre est un exercice de dos réalisé avec barre. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau intermédiaire.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/rowing-barre.png"
"Rowing haltère unilatéral","Dos","Biceps; Deltoïdes postérieurs; Avant-bras","polyarticulaire","Haltère","débutant","Rowing haltère unilatéral est un exercice de dos réalisé avec haltère. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau débutant.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/rowing-haltere-unilateral.png"
"Rowing T-bar","Dos","Biceps; Deltoïdes postérieurs; Avant-bras","polyarticulaire","Machine / barre","intermédiaire","Rowing T-bar est un exercice de dos réalisé avec machine / barre. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau intermédiaire.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/rowing-t-bar.png"
"Rowing assis poulie basse","Dos","Biceps; Deltoïdes postérieurs; Avant-bras","polyarticulaire","Poulie","débutant","Rowing assis poulie basse est un exercice de dos réalisé avec poulie. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau débutant.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/rowing-assis-poulie-basse.png"
"Rowing machine","Dos","Biceps; Deltoïdes postérieurs; Avant-bras","polyarticulaire","Machine","débutant","Rowing machine est un exercice de dos réalisé avec machine. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau débutant.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/rowing-machine.png"
"Tirage bras tendus","Dos","Biceps; Rhomboïdes; Avant-bras","polyarticulaire","Poulie","intermédiaire","Tirage bras tendus est un exercice de dos réalisé avec poulie. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau intermédiaire.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/tirage-bras-tendus.png"
"Soulevé de terre","Dos","Lombaires; Trapèzes; Avant-bras; Abdominaux","polyarticulaire","Barre","avancé","Soulevé de terre est un exercice de dos réalisé avec barre. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau avancé.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/souleve-de-terre.png"
"Soulevé de terre roumain","Dos","Lombaires; Adducteurs; Abdominaux","polyarticulaire","Barre / haltères","intermédiaire","Soulevé de terre roumain est un exercice de dos réalisé avec barre / haltères. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau intermédiaire.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/souleve-de-terre-roumain-dos.png"
"Extensions lombaires","Dos","Fessiers; Ischio-jambiers","isolation","Banc lombaire","débutant","Extensions lombaires est un exercice de dos réalisé avec banc lombaire. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau débutant.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/extensions-lombaires.png"
"Superman","Dos","Fessiers; Ischio-jambiers","isolation","Poids du corps","débutant","Superman est un exercice de dos réalisé avec poids du corps. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau débutant.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/superman.png"
"Face pull","Dos","Rhomboïdes; Rotateurs externes","isolation","Poulie / élastique","débutant","Face pull est un exercice de dos réalisé avec poulie / élastique. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau débutant.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/face-pull-dos.png"
"Shrugs","Dos","Avant-bras","isolation","Barre / haltères","débutant","Shrugs est un exercice de dos réalisé avec barre / haltères. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau débutant.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/shrugs.png"
"Pull-over poulie","Dos","Triceps long; Dentelé antérieur","isolation","Poulie","intermédiaire","Pull-over poulie est un exercice de dos réalisé avec poulie. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau intermédiaire.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/pull-over-poulie.png"
"Développé militaire","Épaules","Triceps; Trapèzes","polyarticulaire","Barre","intermédiaire","Développé militaire est un exercice de épaules réalisé avec barre. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau intermédiaire.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/developpe-militaire.png"
"Développé épaules haltères","Épaules","Triceps; Trapèzes","polyarticulaire","Haltères","débutant","Développé épaules haltères est un exercice de épaules réalisé avec haltères. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau débutant.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/developpe-epaules-halteres.png"
"Shoulder press","Épaules","Triceps; Trapèzes","polyarticulaire","Machine","débutant","Shoulder press est un exercice de épaules réalisé avec machine. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau débutant.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/shoulder-press.png"
"Arnold press","Épaules","Triceps; Trapèzes","polyarticulaire","Haltères","intermédiaire","Arnold press est un exercice de épaules réalisé avec haltères. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau intermédiaire.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/arnold-press.png"
"Élévations latérales","Épaules","Trapèzes supérieurs","isolation","Haltères","débutant","Élévations latérales est un exercice de épaules réalisé avec haltères. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau débutant.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/elevations-laterales.png"
"Élévations latérales poulie","Épaules","Trapèzes supérieurs","isolation","Poulie","intermédiaire","Élévations latérales poulie est un exercice de épaules réalisé avec poulie. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau intermédiaire.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/elevations-laterales-poulie.png"
"Élévations frontales","Épaules","Pectoraux supérieurs","isolation","Haltères / disque","débutant","Élévations frontales est un exercice de épaules réalisé avec haltères / disque. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau débutant.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/elevations-frontales.png"
"Oiseau haltères","Épaules","Trapèzes moyens; Rhomboïdes","isolation","Haltères","débutant","Oiseau haltères est un exercice de épaules réalisé avec haltères. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau débutant.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/oiseau-halteres.png"
"Oiseau sur banc incliné","Épaules","Dentelé antérieur","polyarticulaire","Haltères","débutant","Oiseau sur banc incliné est un exercice de épaules réalisé avec haltères. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau débutant.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/oiseau-sur-banc-incline.png"
"Reverse pec deck","Épaules","Deltoïdes antérieurs","isolation","Machine","débutant","Reverse pec deck est un exercice de épaules réalisé avec machine. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau débutant.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/reverse-pec-deck.png"
"Face pull","Épaules","Rhomboïdes; Rotateurs externes","isolation","Poulie / élastique","débutant","Face pull est un exercice de épaules réalisé avec poulie / élastique. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau débutant.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/face-pull-epaules.png"
"Upright row","Épaules","Biceps","polyarticulaire","Barre / haltères","intermédiaire","Upright row est un exercice de épaules réalisé avec barre / haltères. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau intermédiaire.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/upright-row.png"
"Pike push-up","Épaules","Pectoraux supérieurs; Abdominaux","polyarticulaire","Poids du corps","intermédiaire","Pike push-up est un exercice de épaules réalisé avec poids du corps. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau intermédiaire.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/pike-push-up.png"
"Handstand push-up","Épaules","Pectoraux supérieurs; Abdominaux","polyarticulaire","Poids du corps","avancé","Handstand push-up est un exercice de épaules réalisé avec poids du corps. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau avancé.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/handstand-push-up.png"
"Cuban press","Épaules","Deltoïdes postérieurs","isolation","Haltères légers","intermédiaire","Cuban press est un exercice de épaules réalisé avec haltères légers. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau intermédiaire.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/cuban-press.png"
"Rotation externe épaule","Épaules","Deltoïdes postérieurs","isolation","Élastique / poulie","débutant","Rotation externe épaule est un exercice de épaules réalisé avec élastique / poulie. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau débutant.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/rotation-externe-epaule.png"
"Curl barre droite","Biceps","Avant-bras","isolation","Barre","débutant","Curl barre droite est un exercice de biceps réalisé avec barre. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau débutant.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/curl-barre-droite.png"
"Curl barre EZ","Biceps","Avant-bras","isolation","Barre EZ","débutant","Curl barre EZ est un exercice de biceps réalisé avec barre ez. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau débutant.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/curl-barre-ez.png"
"Curl haltères alterné","Biceps","Avant-bras","isolation","Haltères","débutant","Curl haltères alterné est un exercice de biceps réalisé avec haltères. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau débutant.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/curl-halteres-alterne.png"
"Curl marteau","Biceps","Avant-bras","isolation","Haltères","débutant","Curl marteau est un exercice de biceps réalisé avec haltères. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau débutant.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/curl-marteau.png"
"Curl incliné","Biceps","Dentelé antérieur","polyarticulaire","Haltères","intermédiaire","Curl incliné est un exercice de biceps réalisé avec haltères. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau intermédiaire.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/curl-incline.png"
"Curl concentration","Biceps","Avant-bras","isolation","Haltère","débutant","Curl concentration est un exercice de biceps réalisé avec haltère. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau débutant.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/curl-concentration.png"
"Curl pupitre","Biceps","Avant-bras","isolation","Barre / machine","débutant","Curl pupitre est un exercice de biceps réalisé avec barre / machine. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau débutant.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/curl-pupitre.png"
"Curl poulie basse","Biceps","Avant-bras","isolation","Poulie","débutant","Curl poulie basse est un exercice de biceps réalisé avec poulie. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau débutant.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/curl-poulie-basse.png"
"Curl câble unilatéral","Biceps","Avant-bras","isolation","Poulie","débutant","Curl câble unilatéral est un exercice de biceps réalisé avec poulie. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau débutant.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/curl-cable-unilateral.png"
"Curl spider","Biceps","Avant-bras","isolation","Barre / haltères","intermédiaire","Curl spider est un exercice de biceps réalisé avec barre / haltères. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau intermédiaire.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/curl-spider.png"
"Tractions supination","Biceps","Rhomboïdes; Trapèzes; Avant-bras","polyarticulaire","Barre de traction","intermédiaire","Tractions supination est un exercice de biceps réalisé avec barre de traction. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau intermédiaire.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/tractions-supination-biceps.png"
"Curl Zottman","Biceps","Avant-bras","isolation","Haltères","intermédiaire","Curl Zottman est un exercice de biceps réalisé avec haltères. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau intermédiaire.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/curl-zottman.png"
"Curl inversé","Biceps","Avant-bras","isolation","Barre / haltères","intermédiaire","Curl inversé est un exercice de biceps réalisé avec barre / haltères. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau intermédiaire.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/curl-inverse-biceps.png"
"Extension triceps poulie corde","Triceps","Avant-bras","isolation","Poulie","débutant","Extension triceps poulie corde est un exercice de triceps réalisé avec poulie. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau débutant.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/extension-triceps-poulie-corde.png"
"Extension triceps poulie barre","Triceps","Avant-bras","isolation","Poulie","débutant","Extension triceps poulie barre est un exercice de triceps réalisé avec poulie. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau débutant.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/extension-triceps-poulie-barre.png"
"Extension nuque haltère","Triceps","Avant-bras","isolation","Haltère","débutant","Extension nuque haltère est un exercice de triceps réalisé avec haltère. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau débutant.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/extension-nuque-haltere.png"
"Extension nuque barre EZ","Triceps","Avant-bras","isolation","Barre EZ","intermédiaire","Extension nuque barre EZ est un exercice de triceps réalisé avec barre ez. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau intermédiaire.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/extension-nuque-barre-ez.png"
"Barre au front","Triceps","Avant-bras","isolation","Barre EZ","intermédiaire","Barre au front est un exercice de triceps réalisé avec barre ez. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau intermédiaire.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/barre-au-front.png"
"Kickback triceps","Triceps","Avant-bras","isolation","Haltères","débutant","Kickback triceps est un exercice de triceps réalisé avec haltères. Le mouvement doit rester contrôlé, avec une posture stable et une amplitude adaptée au niveau débutant.","Gardez une posture stable et contrôlée Respirez de façon régulière pendant le mouvement Privilégiez une exécution propre plutôt qu’une charge trop lourde","images/kickback-triceps.png"
